id,Makanan,Alias,Kota,Latitude,Longitude,Course,Tastes,Restaurant,Latitude_R,Longitude_R,Alamat
0,asinan-jakarta,Asinan Jakarta,Jakarta,-6.211544,106.845172,Appetizer,"Spicy, Sweet, Sour and Savory",Asinan Betawi Asymuni,-6.211091868,106.8670547,"Jalan Pisangan Baru RT 002, RW05 No.31, Kec. Matraman, Daerah Khusus Ibukota Jakarta 13110 (Phone:  0813-9997-7978)"
1,ayam-betutu,Ayam Betutu ,Bali,-8.4095178,115.188916,Main Course,"Spicy, Savory and Sweet","Ayam Betutu Khas Gilimanuk Bali, Rawamangun",-6.19689594,106.8862288,"Jl. Balai Pustaka No.25, RT.1/RW.9, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220 (Phone: 021-4718945)"
2,bika-ambon,Bika Ambon,Medan,3.585242,98.6755979,Dessert,Sweet,Bika Ambon Palem,-6.132557643,106.7342104,"The City Resort Residence Rukan Hawaii Bl. B, Jl. City Resort No.50, RT.7/RW.14,Kecamatan Cengkareng, Kota Jakarta Barat, Jakarta 11730 (Phone: 0878-8569-7808)"
3,cendol,Cendol,Ponorogo,-7.867827,111.466003,Dessert,Sweet and Savory,Es Cendol Puas 99,-6.241537163,106.790917,"Jl. Kyai Maja No.57 1, RT.1/RW.3, Gunung, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12120"
4,gado-gado,Gado-gado,Surabaya,-7.289166,112.734398,Main Course,"Sweet, Sour and Salty",Gado-Gado BON BIN,-6.192796833,106.8383848,"Jl. Cikini IV No.5, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330 (Phone: 021-3141539)"
5,gudeg,Gudeg,Yogyakarta,-7.8753849,110.4262088,Main Course,Sweet and Slightly Savory,Gudeg Raden Putro,-6.236943652,106.8096823,"Jl. Cikatomas 1 No.15, RT.2/RW.7, Rw. Bar., Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12180 (Phone: 0858-9150-2237)"
6,keladi,Keladi,Maluku,-3.2384616,130.1452734,Main Course,Savory and Sweet,Alenia Papua Coffee & Kitchen,-6.263545274,106.8159206,"Jl. Kemang Raya No.66 B 8, RT.8/RW.2, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730 (Phone: 021-71790141)"
7,klappertart,Klappertart,Manado,1.47483,124.842079,Dessert,Sweet and Savory,Madelyn Klappertaart,-6.293843254,106.8339001,"Jl. Aup Barat 2 No.24 A, RT.9/RW.6, Jati Padang, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12540 (Phone: 0811-1712-306)"
8,kolak,Kolak,Jakarta,-6.211544,106.845172,Dessert,Sweet and Savory,Kolak Mabes ,-6.150821917,106.8206581,"Jl. Kebon Jeruk XVIII No.68 6, RT.6/RW.8, Maphar, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11160 (Phone: 0838-1540-6881)"
9,kue-lumpur,Kue Lumpur,Jakarta,-6.211544,106.845172,Dessert,Sweet,Dapur'oma'order,-6.229788779,106.9197528,"Jl. Pendidikan Raya 1 nmr:32 komplek IKIP blok A, Duren Sawit, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13440 (Phone: 0856-9152-0531)"
10,nasi-goreng-kampung,Nasi Goreng Kampung,Yogyakarta,-7.8753849,110.4262088,Main Course,Savory and Salty,Nasi Goreng Kampung Mas Ahmad (Ustadz),-6.161086922,106.8279678,"Jl. Krekot Jaya Molek BII No.17, RT.3/RW.7, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 11160"
11,papeda,Papeda,Papua,-4.269928,138.0803529,Main Course,Savory,Alenia Papua Coffee & Kitchen,-6.263545274,106.8159206,"Jl. Kemang Raya No.66 B 8, RT.8/RW.2, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730 (Phone: 021-71790141)"
12,rawon-surabaya,Rawon,Surabaya,-7.289166,112.734398,Main Course,Sweet and Savory,Rawon Soto Daging Waroeng Surabaya,-6.225708608,106.8945712,"10, Gg. B Gg. Cemp. No.33, RT.10/RW.2, Pd. Bambu, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13430 (Phone: 0859-4208-1454)"
